year,atmospheric_pco2_ppm,oae_cdr_gtco2_yr,total_alkalinity_umol_kg,oae_alkalinity_anomaly_umol_kg,surface_ocean_ph,surface_ocean_ph_without_oae,oae_ph_increment
2223,308.3749900912535,0.0,2301.0521727401742,1.0521727401742762,8.143405638855713,8.14327105618091,0.0001345826748035961
2224,308.2963174773163,0.0,2301.000857670111,1.000857670111316,8.14347013016907,8.143342112367893,0.00012801780117754902
2225,308.2123625295314,0.0,2300.952045265547,0.9520452655471127,8.143539730052286,8.143417957146088,0.00012177290619774794
2226,308.12796432877076,0.0,2300.905613470045,0.9056134700450095,8.143610053298874,8.143494220734242,0.00011583256463154612
2227,308.04351546038555,0.0,2300.861446179931,0.861446179931009,8.143680730499652,8.143570548556713,0.0001101819429383255
2228,307.955265362623,0.0,2300.8194329539742,0.8194329539741122,8.14375513860113,8.143650331793195,0.00010480680793456543
2229,307.88086550352915,0.0,2300.7794687372257,0.7794687372257149,8.143817303507122,8.14371760928002,9.969422710121023e-05
2230,307.79065880202137,0.0,2300.7414535983276,0.741453598327515,8.143894030229308,8.143799199647122,9.483058218684448e-05
2231,307.70219263530066,0.0,2300.705292479631,0.7052924796310657,8.143969440441234,8.143879236225617,9.020421561700687e-05
2232,307.6072066285324,0.0,2300.670894959504,0.6708949595041401,8.144050997357043,8.143965194000431,8.580335661179106e-05
2233,307.51637723365894,0.0,2300.6381750262294,0.638175026229553,8.144129029414126,8.144047412148256,8.161726587019302e-05
2234,307.4360162980671,0.0,2300.607050862931,0.6070508629310658,8.14419780778172,8.14412017218458,7.76355971403575e-05
2235,307.3436362556732,0.0,2300.5774446429887,0.5774446429885796,8.14427768314058,8.144203835242017,7.384789856246243e-05
2236,307.25469082853806,0.0,2300.549282335431,0.5492823354310468,8.144354653779281,8.144284408742505,7.024503677577343e-05
2237,307.1692030309659,0.0,2300.5224935198203,0.5224935198204828,8.144428687449086,8.14436186945762,6.681799146512901e-05
2238,307.0606062858995,0.0,2300.497011210164,0.4970112101641902,8.144523854394807,8.144460296682272,6.355771253474529e-05
2239,306.97798820940545,0.0,2300.472771687415,0.47277168741488607,8.144595655510123,8.144535198578362,6.0456931761265764e-05
2240,306.8942332110676,0.0,2300.44971434014,0.44971434013989353,8.144668656762375,8.144611149369078,5.750739329712928e-05
2241,306.8100683457309,0.0,2300.427781512961,0.42778151296098926,8.144742191993837,8.144687490260091,5.4701733745332604e-05
2242,306.7362435124105,0.0,2300.406918362386,0.40691836238592655,8.144806500634154,8.144754467542041,5.203309211232465e-05
2243,306.6641442262875,0.0,2300.3870727196713,0.3870727196711379,8.144869387709347,8.144819893056999,4.949465234815875e-05
2244,306.58624337757465,0.0,2300.368194960373,0.36819496037270266,8.144937678338858,8.144890598375575,4.707996328257025e-05
2245,306.5120948186781,0.0,2300.3502378802596,0.3502378802593892,8.145002695835949,8.144957912720038,4.478311591071815e-05
2246,306.4403164722635,0.0,2300.3331565772774,0.33315657727748876,8.145065687340741,8.145023088999123,4.259834161857157e-05
2247,306.35791782114995,0.0,2300.3169083392722,0.3169083392722933,8.145138445374958,8.14509792535028,4.052002467780369e-05
2248,306.2770016433989,0.0,2300.3014525371855,0.30145253718546056,8.145209975682867,8.145171432568507,3.8543114360578556e-05
2249,306.18286515285297,0.0,2300.2867505234613,0.2867505234612057,8.145293633678964,8.145256971166601,3.666251236289497e-05
2250,306.09073291388154,0.0,2300.2727655354074,0.2727655354072812,8.145375584721231,8.145340711039076,3.487368215537856e-05
2251,305.9914922206099,0.0,2300.259462603269,0.25946260326909726,8.145464108794423,8.145430936733792,3.317206063080391e-05
2252,305.910574356328,0.0,2300.246808462787,0.24680846278712046,8.145536076772773,8.145504523148825,3.1553623948354925e-05
2253,305.818779242897,0.0,2300.234771472019,0.23477147201889847,8.145618036141233,8.145588022087678,3.0014053555404985e-05
2254,305.7265569729361,0.0,2300.2233215322176,0.22332153221772227,8.145700481440867,8.145671931846397,2.854959446985106e-05
2255,305.6447155059757,0.0,2300.21243001257,0.21243001257008162,8.145773571850055,8.14574641518525,2.7156664804905972e-05
2256,305.55305962154927,0.0,2300.2020696786035,0.2020696786037182,8.145855683066436,8.145829851444871,2.583162156533092e-05
2257,305.4812194872023,0.0,2300.1922146240872,0.1922146240872591,8.145919835814952,8.14589526445142,2.4571363532288615e-05
2258,305.40170823150197,0.0,2300.182840206251,0.18284020625114455,8.145991050648798,8.145967678111564,2.3372537233612434e-05
2259,305.31446088450144,0.0,2300.173922984168,0.17392298416786808,8.146069388589181,8.146047156438753,2.223215042818083e-05
2260,305.22178986117024,0.0,2300.1654406601374,0.16544066013744796,8.146152744802595,8.146131597432005,2.1147370590668402e-05
2261,305.1434621335921,0.0,2300.1573720239317,0.15737202393156283,8.146223102182905,8.146202986583573,2.0115599332015677e-05
2262,305.0607911851721,0.0,2300.149696899757,0.1496968997569331,8.146297485896339,8.1462783517538,1.9134142538845822e-05
2263,304.98439079566805,0.0,2300.1423960958055,0.14239609580532855,8.14636621712835,8.146348016526312,1.820060203705509e-05
2264,304.899228764295,0.0,2300.135451356264,0.13545135626405122,8.146443001207077,8.146425688642902,1.7312564175142597e-05
2265,304.8101575730762,0.0,2300.1288453156667,0.12884531566689464,8.146523414427012,8.146506946591366,1.6467835646238882e-05
2266,304.7400478541112,0.0,2300.1225614554714,0.12256145547143302,8.146586585490116,8.146570921084384,1.5664405731641295e-05
2267,304.6598738867446,0.0,2300.116584062754,0.11658406275406112,8.146658995159463,8.146644095029282,1.4900130180350857e-05
2268,304.57713490889563,0.0,2300.1108981909197,0.11089819091950069,8.14673380097817,8.146719627845384,1.4173132786510223e-05
2269,304.5026302299975,0.0,2300.1054896223263,0.10548962232652695,8.146801140655969,8.14678765901924,1.3481636727874502e-05
2270,304.4130874934882,0.0,2300.1003448327365,0.1003448327364599,8.146882264889792,8.1468694410666,1.2823823190899475e-05
2271,304.3248211804719,0.0,2300.0954509574954,0.09545095749552317,8.146962276199988,8.146950078089905,1.2198110082906055e-05
2272,304.2333926065108,0.0,2300.0907957593663,0.09079575936650862,8.147045228716616,8.147033625800283,1.1602916332620339e-05
2273,304.150003578019,0.0,2300.0863675979294,0.08636759792930931,8.147120883052668,8.147109846264003,1.1036788665208519e-05
2274,304.0797615671807,0.0,2300.0821554004738,0.08215540047380596,8.147184562524144,8.147174064202563,1.0498321580953984e-05
2275,304.0040923196231,0.0,2300.078148634312,0.07814863431232413,8.147253244681242,8.14724325857159,9.986109651194397e-06
2276,303.9152584684183,0.0,2300.0743372804423,0.07433728044242884,8.147334009315859,8.147324510463053,9.498852806544278e-06
2277,303.8299136088216,0.0,2300.0707118084943,0.07071180849419977,8.147411626261187,8.147402590881885,9.035379301636226e-06
2278,303.7494244164201,0.0,2300.067263152899,0.06726315289934234,8.14748484120137,8.147476246670198,8.5945311720792e-06
