case,year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
high,2239,1.9180287277222647,1.088189679553395,3.3117518886640607,0.3955760304373215,0.15343962340141898,0.2653547816863358,0.27381924402831864,1.308189679553395
high,2240,1.8803477195271274,1.09133628845695,3.1466089035550038,0.3967212772624543,0.15369397625017106,0.2659870404754972,0.27493399446882727,1.31133628845695
high,2241,1.9394593472704753,1.0947216197063865,3.3853312494365184,0.3979431302697542,0.15397087184640318,0.26671963682138206,0.27608798076884694,1.3147216197063865
high,2242,1.9156672578379699,1.0979990432261513,3.2774235197647883,0.399129200294271,0.1542361290878978,0.26740838249131244,0.27722533135266997,1.3179990432261512
high,2243,1.8907554071217931,1.1011645555115641,3.1655122854128415,0.40027807760892326,0.15448916905434157,0.2680520082378591,0.2783453006104401,1.321164555511564
high,2244,1.8933260598294173,1.1043329732095222,3.168417697958059,0.4014270538145486,0.1547414767218861,0.2686980304542415,0.279466412218846,1.3243329732095221
high,2245,1.9331466838399587,1.1076597092092213,3.3267359996991264,0.4026265256402893,0.15500834561982513,0.26941107765494704,0.28061376029415985,1.3276597092092213
high,2246,1.902278696536545,1.1108493377703355,3.189628561114155,0.4037807070366614,0.15526067123655862,0.2700682502707067,0.2817397092264086,1.3308493377703354
high,2247,1.902731998773539,1.114033011257553,3.1836734872174866,0.40493210707312954,0.15551138246686652,0.2707241507810411,0.2828653709365158,1.334033011257553
high,2248,1.8782001991915573,1.117106846199391,3.073834941837994,0.40604693055711477,0.15575002926819592,0.27133597286702305,0.2839739135070572,1.337106846199391
high,2249,1.8833440482692776,1.120194565949597,3.0877197502061637,0.4071654344737229,0.15598914307063405,0.27195465044119466,0.2850853379640454,1.340194565949597
high,2250,1.8923814146252351,1.1233123397721234,3.117773822526315,0.40829287569799905,0.15623034182477546,0.27258685645753705,0.28620226579181185,1.3433123397721234
high,2251,1.8784728938755308,1.1263647096627074,3.0523698905839947,0.4093981835082483,0.1564639685616938,0.2731933217807593,0.287309235812006,1.3463647096627074
high,2252,1.886802290064412,1.129444284781855,3.0795751191476928,0.4105115095962524,0.15669943756800048,0.27381210301850656,0.28842123459909574,1.349444284781855
high,2253,1.8754614147008148,1.132469280732206,3.024995950350995,0.4116062176585057,0.15692843820301872,0.2744096169156818,0.2895250079549999,1.352469280732206
high,2254,1.8470789502624043,1.1353693985255555,2.9001177933494215,0.4126593061863357,0.15714362406063603,0.27495738871917297,0.2906090795594109,1.3553693985255555
high,2255,1.8603406940994676,1.1383174814654269,2.948082939871366,0.41372723975427517,0.1573629994193927,0.2755257274645123,0.29170151482724666,1.3583174814654269
high,2256,1.8786491193625912,1.1413344309005582,3.016949435131311,0.41481680256354725,0.15758861028064175,0.2761233088301978,0.29280570922617133,1.3613344309005582
high,2257,1.9071421717750632,1.1444626469062176,3.128216005659379,0.4159417102001737,0.15782451813505993,0.27676790078131475,0.29392851778966916,1.3644626469062175
high,2258,1.8737712095159984,1.1474444858598374,2.9818389536198087,0.41701816033598893,0.15804476524306782,0.27735330636985317,0.29502825391092746,1.3674444858598374
high,2259,1.8939834366965453,1.1505031588101033,3.0586729502659615,0.4181187903964137,0.15827195036148106,0.2779713901701965,0.296141027882012,1.3705031588101033
high,2260,1.8863036017558044,1.153522518374904,3.0193595648007054,0.4192057929446821,0.1584942956886684,0.278574387342507,0.29724804239904645,1.373522518374904
high,2261,1.8613196631386588,1.1564309571153515,2.9084387404474388,0.42025579662732654,0.15870444361776492,0.27913307387836184,0.29833764299189824,1.3764309571153515
high,2262,1.8755061842732583,1.1593913105382117,2.9603534228601625,0.42132190559243937,0.15891914176520178,0.27971403583452586,0.29943622734604447,1.3793913105382116
high,2263,1.857133961311418,1.1622684431592103,2.877132620998646,0.4223600224060006,0.15912445595370445,0.2802621083781278,0.3005218564213774,1.3822684431592103
high,2264,1.8346708822085365,1.1650459070966854,2.777463937475133,0.4233646947101474,0.15931854044121224,0.2807708908540507,0.30159178109127505,1.3850459070966854
high,2265,1.871203441482559,1.1679680466928306,2.922139596145179,0.42441583849947634,0.15952702439595862,0.28133942974611725,0.3026857540512784,1.3879680466928306
high,2266,1.8664622584461215,1.1708635930101696,2.895546317339015,0.42545747614766966,0.15973199754120193,0.28189816214540925,0.3037759571758888,1.3908635930101696
high,2267,1.8426859118373042,1.1736538853565281,2.790292346358525,0.42646388215736813,0.1599252470234807,0.28241518741559274,0.3048495687600866,1.3936538853565281
high,2268,1.8587191864332604,1.176503981709259,2.850096352730924,0.42748902022678553,0.16012405685608455,0.28295748797689463,0.30593341664949425,1.396503981709259
high,2269,1.8394452293800576,1.1792676638147783,2.7636821055192495,0.4284850666541033,0.1603130917421553,0.28346579588641657,0.3070037095321032,1.3992676638147783
high,2270,1.8606490901935833,1.182112621219042,2.844957404263715,0.4295068711095002,0.16050996046280208,0.28400806583783883,0.3080877238089009,1.402112621219042
high,2271,1.8529849826793634,1.1849191721422472,2.806550923205142,0.4305153011710385,0.1607021221155422,0.2845357444920178,0.30916600436364866,1.4049191721422472
high,2272,1.8603933933324164,1.1877498387225247,2.83066658027753,0.43153078840563225,0.16089610226105422,0.28507423972424106,0.310248708331597,1.4077498387225247
high,2273,1.8087448360557492,1.190360675772113,2.6108370495883104,0.43247341145322055,0.16106603429070926,0.2855251823903652,0.31129604763781793,1.410360675772113
high,2274,1.834924090183693,1.1930734535597458,2.712777787632792,0.43344868107095963,0.16124636143533266,0.286017938790479,0.3123604722629744,1.4130734535597458
high,2275,1.8226963143468484,1.1957295370645389,2.656083504793072,0.43440453878722024,0.16142000976268206,0.28648888950950363,0.31341609900513284,1.4157295370645389
high,2276,1.8736833873263263,1.1985903923812242,2.86085531668534,0.43542656766775817,0.16161453749274168,0.28704376788044794,0.3145055193402763,1.4185903923812242
high,2277,1.8343311410642453,1.2012816840748624,2.6912916936381315,0.4363923493066458,0.1617906866137222,0.28753079284515376,0.3155678553093405,1.4212816840748623
