year,phase,gross_emissions_gtco2,planned_incremental_cdr_gtco2,feasible_incremental_cdr_gtco2,incremental_cdr_gtco2,net_anthropogenic_gtco2,natural_reservoir_flux_to_sinks_gtc,co2_ppm,land_binding,food_land_deficit_mha,cdr_land_mha,reservoir_permanent_gtc,reservoir_slow_gtc,reservoir_medium_gtc,reservoir_fast_gtc
2125,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.5496208869252395,301.14664113616607,False,0.0,364.1666666666667,50.39283168060143,29.72185839737473,-26.537857160783425,-4.436513785112206
2126,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.5609568166088477,300.1813060693254,False,0.0,364.1666666666667,49.58032895134379,28.810100722897452,-26.863003099682253,-4.436513789381235
2127,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.5720433456926948,299.2211931075642,False,0.0,364.1666666666667,48.76782622208614,27.900651878976365,-27.179371340938502,-4.4365137927651865
2128,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.5828870636873789,298.2661878791967,False,0.0,364.1666666666667,47.9553234928285,26.993506018993795,-27.487198848840162,-4.436513795447561
2129,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.5934943825663463,297.31617903277873,False,0.0,364.1666666666667,47.14282076357085,26.08865731113737,-27.786716190545125,-4.436513797573811
2130,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6038715415595868,296.37105815574057,False,0.0,364.1666666666667,46.33031803431321,25.186099938362528,-28.07814770877925,-4.436513799259237
2131,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6140246118176007,295.4307196952158,False,0.0,364.1666666666667,45.517815305055564,24.285828098355125,-28.361711689872237,-4.436513800595232
2132,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6239595009490455,294.4950608810083,False,0.0,364.1666666666667,44.70531257579792,23.38783600349413,-28.63762052725717,-4.436513801654241
2133,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6336819574357886,293.56398165063814,False,0.0,364.1666666666667,43.892809846540274,22.492117880814423,-28.906080880556207,-4.436513802493692
2134,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.643197574928465,292.63738457641153,False,0.0,364.1666666666667,43.08030711728263,21.598667971969675,-29.167293830371566,-4.436513803159103
2135,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6525117964260243,291.7151747944588,False,0.0,364.1666666666667,42.267804388024985,20.707480533195337,-29.421455028897732,-4.436513803686558
2136,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6616299183422605,290.7972599356885,False,0.0,364.1666666666667,41.45530165876734,19.818549835271707,-29.668754846467724,-4.436513804104658
2137,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6705570944625237,289.8835500586046,False,0.0,364.1666666666667,40.642798929509695,18.9318701634871,-29.90937851414316,-4.436513804436076
2138,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6792983397935064,288.97395758393753,False,0.0,364.1666666666667,39.83029620025205,18.04743581760112,-30.14350626245495,-4.436513804698782
2139,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6878585343090582,288.0683972310395,False,0.0,364.1666666666667,39.017793470994405,17.165241111807994,-30.371313456398507,-4.436513804907023
2140,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.6962424265948517,287.16678595599626,False,0.0,364.1666666666667,38.20529074173676,16.285280374700044,-30.59297072678462,-4.4365138050720905
2141,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.7044546373945808,286.2690428914098,False,0.0,364.1666666666667,37.392788012479116,15.4075479492312,-30.808644098044336,-4.436513805202935
2142,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.712499663060461,285.37508928780585,False,0.0,364.1666666666667,36.58028528322147,14.53203819268066,-31.018495112583604,-4.436513805306652
2143,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.7203818789104801,284.48484845662307,False,0.0,364.1666666666667,35.767782553963826,13.658745476616597,-31.22268095178083,-4.436513805388866
2144,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.7281055424950695,283.59824571474053,False,0.0,364.1666666666667,34.95527982470618,12.787664186859974,-31.421354553717954,-4.436513805454036
2145,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.735674796775546,282.7152083305031,False,0.0,364.1666666666667,34.14277709544854,11.918788723448463,-31.614664727733224,-4.436513805505694
